Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Year
Sonny Weems,24,TOR,SF,59,28,1413,10.2,0.492,0.119,0.183,3.2,9.8,6.4,11.6,1.2,0.1,13.4,20.3,-0.4,0.0,-0.4,-0.013,-2.5,-2.2,-4.6,-0.9,,weemsso01,2010-2011
Corey Maggette,31,MIL,SF,67,18,1401,15.8,0.573,0.140,0.581,3.6,16.8,10.0,11.3,0.8,0.3,15.3,27.7,1.5,1.9,3.4,0.115,-0.6,-0.2,-0.8,0.5,,maggeco01,2010-2011
Andris Biedriņš,24,GSW,C,59,55,1397,12.1,0.526,0.000,0.117,11.5,23.3,17.3,6.0,1.9,2.8,16.9,10.6,1.1,1.5,2.6,0.088,-2.5,0.2,-2.3,-0.1,,biedran01,2010-2011
Leandro Barbosa,28,TOR,SG,58,0,1395,15.3,0.539,0.326,0.210,1.2,7.4,4.2,14.6,1.9,0.3,10.5,25.6,1.4,0.1,1.5,0.052,0.4,-1.7,-1.3,0.2,,barbole01,2010-2011
Antonio McDyess,36,SAS,PF,73,16,1387,12.8,0.516,0.003,0.224,10.5,22.3,16.5,9.0,1.3,2.0,16.0,14.9,1.0,2.1,3.0,0.105,-1.8,1.1,-0.7,0.4,,mcdyean01,2010-2011
Francisco García,29,SAC,SF,58,34,1386,13.5,0.551,0.472,0.160,1.9,9.2,5.5,8.0,1.9,2.6,8.1,17.3,1.9,1.1,3.0,0.104,0.4,0.6,1.0,1.0,,garcifr01,2010-2011
Al Thornton,27,2TM,PF,71,23,1383,11.7,0.531,0.060,0.329,4.5,13.4,8.8,7.2,1.3,0.7,11.5,17.8,1.0,0.6,1.6,0.054,-2.4,-1.0,-3.3,-0.4,,thornal01,2010-2011
Al Thornton,27,WAS,SF,49,23,1069,11.8,0.525,0.076,0.327,4.7,12.2,8.3,7.7,1.3,0.6,10.5,17.3,0.9,0.4,1.3,0.058,-1.8,-0.9,-2.7,-0.2,,thornal01,2010-2011
Al Thornton,27,GSW,PF,22,0,314,11.3,0.549,0.010,0.337,3.5,17.4,10.3,5.3,1.1,0.7,14.3,19.6,0.1,0.2,0.3,0.042,-4.1,-1.3,-5.5,-0.3,,thornal01,2010-2011
Anthony Tolliver,25,MIN,SF,65,4,1362,13.3,0.585,0.367,0.419,7.3,17.0,12.0,8.9,1.0,1.6,11.7,13.1,2.6,0.7,3.3,0.115,0.1,0.0,0.0,0.7,,tollian01,2010-2011
