Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
Bryce Cotton,22,UTA,PG,15,0,159,14.5,0.520,0.290,0.261,2.2,10.8,6.5,17.0,1.3,0.0,13.5,25.6,0.1,0.1,0.2,0.067,-0.6,-1.7,-2.2,0.0,,cottobr01
Bernard James,29,DAL,C,16,2,158,16.0,0.593,0.000,0.852,12.5,14.6,13.5,3.4,0.6,7.7,13.9,12.2,0.4,0.2,0.5,0.165,-0.5,1.2,0.8,0.1,,jamesbe01
Earl Barron,33,PHO,C,16,1,143,5.0,0.361,0.103,0.308,10.6,10.8,10.7,4.9,1.4,1.1,10.1,15.1,-0.1,0.1,0.0,-0.011,-6.6,-0.8,-7.4,-0.2,,barroea01
James Michael McAdoo,22,GSW,PF,15,0,137,17.7,0.564,0.000,0.568,12.2,16.8,14.6,2.1,1.8,4.9,9.8,19.4,0.2,0.3,0.5,0.177,-2.1,-0.2,-2.3,0.0,,mcadoja01
Ekpe Udoh,27,LAC,PF,33,0,128,11.6,0.519,0.000,0.375,6.3,16.4,11.4,8.5,3.2,4.5,20.0,12.3,0.0,0.2,0.3,0.101,-3.9,2.7,-1.2,0.0,,udohek01
Nazr Mohammed,37,CHI,C,23,0,128,8.7,0.431,0.000,0.100,9.6,22.3,16.1,3.6,1.6,2.8,18.3,13.4,-0.1,0.2,0.1,0.040,-4.9,0.4,-4.5,-0.1,,mohamna01
Jarnell Stokes,21,MEM,PF,19,2,126,18.6,0.578,0.000,0.757,14.6,16.3,15.4,5.2,2.1,3.3,12.4,20.5,0.3,0.2,0.5,0.186,-1.3,0.1,-1.1,0.0,,stokeja01
Shavlik Randolph,31,2TM,PF,21,0,126,7.2,0.298,0.143,0.343,13.8,19.3,16.5,4.4,2.0,1.8,6.9,15.1,-0.2,0.2,0.0,-0.004,-4.6,-1.1,-5.7,-0.1,,randosh01
Shavlik Randolph,31,PHO,PF,16,0,101,6.1,0.289,0.160,0.400,12.9,15.3,14.1,4.0,2.0,1.5,6.4,13.7,-0.1,0.1,0.0,-0.008,-4.8,-1.2,-6.0,-0.1,,randosh01
Shavlik Randolph,31,BOS,PF,5,0,25,11.4,0.322,0.100,0.200,17.3,35.6,26.3,5.9,2.0,3.1,8.4,20.8,0.0,0.1,0.0,0.012,-3.7,-0.7,-4.4,0.0,,randosh01
