Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
Carlos Arroyo,25,UTA,PG,30,16,742,11.8,0.474,0.078,0.272,1.8,6.0,3.8,34.7,1.5,0.3,17.5,19.5,0.3,0.1,0.4,0.027,-0.6,-1.9,-2.6,-0.1,,arroyca01
Carlos Arroyo,25,DET,PG,40,0,706,10.7,0.458,0.061,0.437,2.5,7.1,4.8,29.7,1.9,0.1,18.1,19.1,0.0,0.9,0.9,0.060,-3.7,0.3,-3.4,-0.2,,arroyca01
Predrag Drobnjak,29,ATL,C,71,1,1435,12.7,0.501,0.131,0.221,5.6,14.1,9.7,5.9,1.5,1.3,11.6,21.0,0.4,0.5,1.0,0.032,-1.5,-1.6,-3.2,-0.4,,drobnpr01
Brian Cardinal,27,MEM,PF,58,16,1433,14.0,0.510,0.289,0.419,5.3,13.5,9.4,13.3,3.3,1.0,14.0,19.6,1.1,2.4,3.5,0.116,-1.2,2.1,0.9,1.0,,cardibr01
Chris Andersen,26,NOH,C,67,2,1430,18.5,0.581,0.008,0.531,10.9,23.6,17.0,9.1,0.5,5.6,12.7,16.4,2.7,1.8,4.5,0.152,0.5,1.1,1.6,1.3,,anderch01
Howard Eisley,32,UTA,PG,74,1,1428,9.3,0.470,0.254,0.205,1.3,6.7,3.9,29.1,1.7,0.5,20.1,17.8,-0.4,0.4,0.0,0.000,-2.3,-1.6,-3.9,-0.7,,eisleho01
Marquis Daniels,24,DAL,SG,60,17,1412,14.6,0.484,0.069,0.264,7.0,10.0,8.6,14.6,3.0,0.7,13.3,20.6,0.7,1.9,2.5,0.086,-0.8,1.4,0.6,0.9,,daniema01
Jacque Vaughn,29,NJN,SG,71,34,1410,8.9,0.511,0.046,0.280,1.4,7.8,4.6,16.3,1.6,0.1,14.5,14.2,0.4,1.4,1.8,0.062,-4.0,0.1,-3.9,-0.7,,vaughja01
Zaza Pachulia,20,MIL,C,74,4,1397,14.4,0.526,0.003,0.523,10.9,20.9,15.9,6.8,1.7,1.8,13.9,16.5,1.6,1.3,2.9,0.099,-1.1,-0.2,-1.3,0.2,,pachuza01
Nick Collison,24,SEA,C,82,4,1396,15.0,0.570,0.008,0.333,13.7,19.2,16.5,3.9,1.3,2.8,13.3,15.5,2.7,1.2,3.9,0.135,-1.3,-0.4,-1.7,0.1,,collini01
Robert Horry,34,SAS,PF,75,16,1396,14.9,0.533,0.368,0.291,7.6,14.8,11.2,9.2,2.6,3.1,14.0,16.4,1.4,3.1,4.6,0.157,0.2,2.8,3.0,1.8,,horryro01
Trevor Ariza,19,NYK,SF,80,12,1382,13.3,0.503,0.033,0.447,7.5,13.1,10.3,9.8,2.7,1.0,13.6,17.8,0.8,1.3,2.1,0.073,-1.2,0.6,-0.6,0.5,,arizatr01
Keith McLeod,25,UTA,PG,53,47,1382,10.4,0.440,0.176,0.358,1.7,8.6,5.1,27.9,2.5,0.7,17.3,19.0,-0.5,0.8,0.3,0.009,-2.3,-0.4,-2.6,-0.2,,mcleoke01
James Posey,28,MEM,SF,50,18,1382,10.5,0.500,0.500,0.312,3.9,15.0,9.5,10.3,1.9,1.3,14.6,16.2,0.4,1.9,2.3,0.079,-1.6,0.9,-0.7,0.5,,poseyja01
Rodney Rogers,33,2TM,SF,58,33,1367,8.9,0.462,0.373,0.156,5.0,16.2,10.4,11.0,1.6,1.2,15.2,19.0,-1.1,1.4,0.3,0.010,-3.7,-0.5,-4.2,-0.7,,rogerro01
Rodney Rogers,33,NOH,SF,30,26,882,7.1,0.447,0.318,0.145,3.6,16.0,9.5,12.2,1.2,1.1,17.7,19.7,-1.3,0.7,-0.6,-0.035,-4.6,-1.0,-5.7,-0.8,,rogerro01
Rodney Rogers,33,PHI,PF,28,7,485,12.2,0.488,0.472,0.174,7.6,16.7,12.1,8.8,2.3,1.3,10.3,17.6,0.2,0.7,0.9,0.090,-1.9,0.5,-1.5,0.1,,rogerro01
Richard Jefferson,24,NJN,SF,33,33,1355,16.6,0.537,0.158,0.477,4.3,17.2,10.7,19.0,1.3,1.0,16.2,28.2,0.6,1.8,2.4,0.086,1.6,-0.1,1.5,1.2,,jefferi01
Andrei Kirilenko,23,UTA,PF,41,37,1349,24.4,0.599,0.183,0.617,8.0,15.7,11.7,17.4,2.7,8.5,14.4,21.3,3.5,2.0,5.5,0.197,5.5,3.7,9.2,3.8,DPOY-10,kirilan01
Boštjan Nachbar,24,2TM,SF,71,6,1341,10.1,0.534,0.477,0.285,2.1,14.4,8.0,9.8,1.2,1.0,13.6,18.6,0.6,1.1,1.7,0.061,-1.9,-0.4,-2.2,-0.1,,nachbbo01
Boštjan Nachbar,24,HOU,SF,16,2,204,6.1,0.507,0.488,0.279,2.3,14.5,8.6,6.9,0.3,0.0,9.4,12.3,0.1,0.2,0.3,0.080,-3.0,0.4,-2.6,0.0,,nachbbo01
Boštjan Nachbar,24,NOH,PF,55,4,1137,10.9,0.537,0.476,0.285,2.0,14.3,7.9,10.3,1.3,1.1,14.1,19.7,0.5,0.9,1.4,0.057,-1.7,-0.5,-2.2,0.0,,nachbbo01
Tony Delk,31,ATL,SG,56,1,1340,15.1,0.512,0.342,0.230,2.3,9.3,5.6,13.9,1.8,0.2,7.7,23.6,1.8,0.3,2.1,0.074,0.7,-1.6,-1.0,0.3,,delkto01
Mickaël Piétrus,22,GSW,SF,67,3,1340,14.2,0.539,0.389,0.403,5.0,10.5,7.7,10.2,1.8,1.0,13.5,22.5,1.1,1.0,2.1,0.075,-0.2,-0.8,-1.0,0.3,,pietrmi01
